Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Genotype],Comment [Genotype Gene Identifier 1],Comment [Genotype Gene Identifier 2],Comment [Genotype Gene Symbol 1],Comment [Genotype Gene Symbol 2],Comment [Genotype Allele Identifier 1],Comment [Genotype Allele Identifier 2],Comment [Genotype Allele Symbol 1],Comment [Genotype Allele Symbol 2],Characteristics [Stock],Characteristics [Strain],Characteristics [Developmental Stage],Term Source 2 REF,Term Source 2 Accession,Comment [Developmental Stage - Substage],Assay Name,Experimental Condition [Treatment],Experimental Condition [Targeted Protein 1],Experimental Condition [Targeted Protein 2],Experimental Condition [Targeted Protein 3],Comment [Targeted Protein Gene Identifier 1],Comment [Targeted Protein Gene Identifier 2],Comment [Targeted Protein Gene Identifier 3],Comment [Targeted Protein Gene Symbol 1],Comment [Targeted Protein Gene Symbol 2],Comment [Targeted Protein Gene Symbol 3],Experimental Condition [Targeted Transcript 1],Experimental Condition [Targeted Transcript 2],Experimental Condition [Targeted Transcript 3],Experimental Condition [Targeted Transcript 4],Comment [Targeted Transcript Gene Identifier 1],Comment [Targeted Transcript Gene Identifier 2],Comment [Targeted Transcript Gene Identifier 3],Comment [Targeted Transcript Gene Identifier 4],Comment [Targered Transcript Gene Symbol 1],Comment [Targered Transcript Gene Symbol 2],Comment [Targered Transcript Gene Symbol 3],Comment [Targered Transcript Gene Symbol 4],Source Name,Image File,Comment [Image File Path],Comment [Image File Type],Channels
01 - wild-type - Dichaete antibody stain (1),5-1a_01_wt_Dprotein555-TL_004_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1a_01_wt_Dprotein555-TL_004_mp.tif,01_wt_Dprotein555-TL/mps/5-1a_01_wt_Dprotein555-TL_004_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1b_01_wt_Dprotein555-TL_006_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1b_01_wt_Dprotein555-TL_006_mp.tif,01_wt_Dprotein555-TL/mps/5-1b_01_wt_Dprotein555-TL_006_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1c_01_wt_Dprotein555-TL_002_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1c,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1c_01_wt_Dprotein555-TL_002_mp.tif,01_wt_Dprotein555-TL/mps/5-1c_01_wt_Dprotein555-TL_002_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-2a_01_wt_Dprotein555-TL_005_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Feb,01_5-2a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-2a_01_wt_Dprotein555-TL_005_mp.tif,01_wt_Dprotein555-TL/mps/5-2a_01_wt_Dprotein555-TL_005_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-2b_01_wt_Dprotein555-TL_003_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Feb,01_5-2b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-2b_01_wt_Dprotein555-TL_003_mp.tif,01_wt_Dprotein555-TL/mps/5-2b_01_wt_Dprotein555-TL_003_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-3a_01_wt_Dprotein555-TL_001_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Mar,01_5-3a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-3a_01_wt_Dprotein555-TL_001_mp.tif,01_wt_Dprotein555-TL/mps/5-3a_01_wt_Dprotein555-TL_001_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-4a_01_wt_Dprotein555-TL_010_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Apr,01_5-4a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-4a_01_wt_Dprotein555-TL_010_mp.tif,01_wt_Dprotein555-TL/mps/5-4a_01_wt_Dprotein555-TL_010_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-4b_01_wt_Dprotein555-TL_007_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Apr,01_5-4b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-4b_01_wt_Dprotein555-TL_007_mp.tif,01_wt_Dprotein555-TL/mps/5-4b_01_wt_Dprotein555-TL_007_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),6a_01_wt_Dprotein555-TL_008_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6a_01_wt_Dprotein555-TL_008_mp.tif,01_wt_Dprotein555-TL/mps/6a_01_wt_Dprotein555-TL_008_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),6b_01_wt_Dprotein555-TL_009_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6b_01_wt_Dprotein555-TL_009_mp.tif,01_wt_Dprotein555-TL/mps/6b_01_wt_Dprotein555-TL_009_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
